hostname,implementation,model,threaded,replicates,cores,wallSeconds,userSeconds
ip-172-31-32-101,josh,manual,true,100,8,3417.964,20921.372
ip-172-31-32-129,josh,ai,false,100,8,18375.579,29217.835
ip-172-31-32-22,josh,ai,true,100,8,6361.882,41299.019
ip-172-31-32-225,mesa,manual,false,100,8,14706.512,14699.094
ip-172-31-32-245,josh,ai,true,100,8,6134.485,39849.782
ip-172-31-32-251,josh,ai,true,100,8,6206.937,40255.672
ip-172-31-33-135,josh,manual,false,100,8,8413.125,14843.828
ip-172-31-33-138,josh,ai,false,100,8,18467.136,29344.524
ip-172-31-33-190,josh,ai,true,100,8,6138.059,39988.968
ip-172-31-33-83,mesa,manual,true,100,8,3820.401,26138.694
ip-172-31-34-0,mesa,manual,true,100,8,3268.101,22374.322
ip-172-31-34-100,mesa,manual,true,100,8,3724.938,25489.014
ip-172-31-34-154,josh,manual,true,100,8,3578.538,22050.465
ip-172-31-34-202,mesa,manual,true,100,8,3616.196,24779.131
ip-172-31-34-8,mesa,ai,true,100,8,9407.466,57834.238
ip-172-31-35-136,mesa,ai,false,100,8,15767.305,15757.826
ip-172-31-35-230,mesa,ai,false,100,8,15695.016,15686.263
ip-172-31-35-240,mesa,manual,true,100,8,3780.282,25880.160
ip-172-31-35-58,mesa,manual,false,100,8,12377.171,12371.424
ip-172-31-35-79,josh,manual,false,100,8,8375.895,14713.718
ip-172-31-35-83,josh,ai,false,100,8,19100.777,30202.015
ip-172-31-36-125,josh,manual,false,100,8,8878.552,15705.830
ip-172-31-36-176,josh,manual,true,100,8,3514.055,21646.812
ip-172-31-36-204,josh,ai,true,100,8,6801.845,43910.872
ip-172-31-36-58,mesa,manual,true,100,8,3473.855,23624.542
ip-172-31-36-61,josh,ai,false,100,8,17150.509,27286.301
ip-172-31-36-80,mesa,ai,true,100,8,8985.118,54651.307
ip-172-31-37-117,josh,manual,false,100,8,8513.108,15013.898
ip-172-31-37-196,mesa,ai,true,100,8,8911.884,52799.946
ip-172-31-37-249,mesa,manual,true,100,8,3325.911,22773.344
ip-172-31-37-30,josh,ai,false,100,8,17952.147,28862.507
ip-172-31-37-45,josh,ai,false,100,8,16818.667,26796.923
ip-172-31-37-8,josh,manual,true,100,8,3328.345,20358.610
ip-172-31-38-17,josh,manual,false,100,8,9071.923,16044.234
ip-172-31-38-190,josh,manual,true,100,8,3360.908,20578.768
ip-172-31-38-222,josh,manual,false,100,8,8910.918,15782.154
ip-172-31-38-63,mesa,manual,false,100,8,14492.333,14484.817
ip-172-31-39-149,mesa,manual,true,100,8,3677.649,25237.604
ip-172-31-39-151,josh,manual,false,100,8,8208.824,14569.686
ip-172-31-39-64,josh,manual,true,100,8,3558.401,22018.101
ip-172-31-40-140,josh,ai,true,100,8,6230.988,40507.264
ip-172-31-40-149,mesa,manual,false,100,8,13731.542,13724.668
ip-172-31-40-160,josh,manual,true,100,8,3458.047,21306.777
ip-172-31-40-168,mesa,ai,true,100,8,9510.747,57203.526
ip-172-31-40-179,mesa,ai,false,100,8,17306.610,17297.138
ip-172-31-40-230,mesa,ai,true,100,8,8688.308,52663.101
ip-172-31-40-247,josh,manual,true,100,8,3461.897,21312.850
ip-172-31-40-29,mesa,ai,true,100,8,9255.588,55797.799
ip-172-31-41-105,mesa,ai,false,100,8,17315.890,17306.716
ip-172-31-41-109,mesa,ai,true,100,8,8632.525,51540.002
ip-172-31-41-168,mesa,manual,false,100,8,13664.481,13657.744
ip-172-31-41-181,mesa,ai,true,100,8,10100.033,61790.315
ip-172-31-42-10,mesa,manual,true,100,8,3591.913,24648.423
ip-172-31-42-228,josh,manual,false,100,8,8286.960,14664.424
ip-172-31-42-31,josh,ai,true,100,8,6413.674,41550.243
ip-172-31-42-47,josh,manual,false,100,8,9041.432,15909.199
ip-172-31-42-80,mesa,ai,false,100,8,15961.514,15951.677
ip-172-31-43-131,josh,ai,true,100,8,5972.204,38871.043
ip-172-31-43-163,mesa,ai,false,100,8,15706.230,15697.341
ip-172-31-43-197,mesa,manual,false,100,8,12888.762,12882.136
ip-172-31-43-216,josh,ai,true,100,8,6607.184,42923.827
ip-172-31-43-29,mesa,ai,false,100,8,15609.896,15601.183
ip-172-31-43-75,josh,ai,false,100,8,17121.713,27458.765
ip-172-31-44-150,josh,ai,false,100,8,17940.542,28478.680
ip-172-31-44-175,josh,ai,true,100,8,5934.690,38608.102
ip-172-31-44-18,josh,manual,true,100,8,3605.538,22315.077
ip-172-31-44-192,mesa,ai,false,100,8,16096.103,16087.515
ip-172-31-44-251,josh,ai,false,100,8,17668.716,28131.618
ip-172-31-45-190,mesa,ai,false,100,8,16401.807,16392.159
ip-172-31-45-41,mesa,manual,true,100,8,3365.657,23071.979
ip-172-31-46-115,josh,ai,false,100,8,17864.519,28519.906
ip-172-31-46-148,mesa,ai,true,100,8,9322.178,56805.143
ip-172-31-46-247,mesa,manual,false,100,8,13274.236,13266.942
ip-172-31-46-80,josh,manual,true,100,8,3509.354,21559.864
ip-172-31-46-83,mesa,manual,false,100,8,12490.476,12485.297
ip-172-31-46-9,mesa,manual,false,100,8,14250.606,14243.922
ip-172-31-47-18,mesa,ai,false,100,8,16947.539,16938.106
ip-172-31-47-237,mesa,manual,false,100,8,14378.445,14370.864
ip-172-31-47-62,josh,manual,false,100,8,8613.543,15099.403
ip-172-31-47-63,mesa,ai,true,100,8,10066.335,61772.137
